;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
36;0001599916-19-000106;2019-07-11;2018-09-30;2019-07-11T15:36:10.000Z;34;10-K/A;000-55377;19951123;;3982330;1;0;form10ka118.htm;10-K/A
37;0001599916-19-000082;2019-05-15;2019-03-31;2019-05-15T16:04:18.000Z;34;10-Q;000-55377;19827935;;1546596;1;0;exceed_10q219.htm;10-Q
38;0001599916-19-000019;2019-02-13;2018-12-31;2019-02-13T11:47:21.000Z;34;10-Q;000-55377;19594597;;1258692;1;0;exceed10q119.htm;FORM 10-Q
39;0001599916-19-000005;2019-01-14;2018-09-30;2019-01-14T17:13:59.000Z;34;10-K;000-55377;19525643;;2589065;1;0;form10k18.htm;FORM 10-K
40;0001599916-18-000222;2018-12-28;2018-09-30;2018-12-28T09:30:27.000Z;34;NT 10-K;000-55377;181256150;;22677;0;0;nt_10k2018.htm;NT 10-K
41;0001599916-18-000219;2018-12-12;2018-12-06;2018-12-12T09:20:04.000Z;34;8-K;000-55377;181230129;1.01,2.01,9.01;163097;0;0;decon_8k.htm;FORM 8-K
42;0001599916-18-000178;2018-10-10;;2018-10-10T13:04:44.000Z;34;SC 13D;005-89244;181115578;;92061;0;0;sc13d.htm;SC 13D
43;0001599916-18-000177;2018-10-10;;2018-10-10T09:08:04.000Z;34;SC 13D;005-89244;181114979;;84853;0;0;sc13d_forcecayman.htm;SC 13D
44;0001599916-18-000176;2018-10-10;;2018-10-10T08:50:31.000Z;34;SC 13D;005-89244;181114935;;84658;0;0;sc13d_forcehk.htm;SC 13D
45;0001599916-18-000175;2018-10-10;;2018-10-10T08:45:31.000Z;34;SC 13D;005-89244;181114930;;93353;0;0;sc13d_yoshidakoga.htm;SC 13D
46;0001599916-18-000174;2018-10-10;;2018-10-10T08:39:37.000Z;34;SC 13D;005-89244;181114924;;93354;0;0;sc13d_yoshidakoga.htm;SC 13D
47;0001753571-18-000003;2018-10-05;2016-04-01;2018-10-05T14:39:52.000Z;;4;;;;14489;0;0;xslF345X03/primary_doc.xml;PRIMARY DOCUMENT
48;0001753571-18-000002;2018-10-05;2016-04-01;2018-10-05T13:50:29.000Z;;4;;;;16254;0;0;xslF345X03/primary_doc.xml;PRIMARY DOCUMENT
49;0001753571-18-000001;2018-10-05;2016-04-01;2018-10-05T12:58:12.000Z;;4;;;;19373;0;0;xslF345X03/primary_doc.xml;PRIMARY DOCUMENT
50;0001753630-18-000002;2018-10-04;2016-04-01;2018-10-04T21:41:15.000Z;;4;;;;12470;0;0;xslF345X03/primary_doc.xml;PRIMARY DOCUMENT
51;0001753630-18-000001;2018-10-04;2016-01-12;2018-10-04T21:15:41.000Z;;3;;;;9268;0;0;xslF345X02/primary_doc.xml;PRIMARY DOCUMENT
52;0001599916-18-000165;2018-10-02;2018-10-02;2018-10-02T09:55:31.000Z;34;8-K;000-55377;181099661;1.01,2.01,3.02,9.01;1916803;0;0;super8k.htm;FORM 8-K
53;0001599916-18-000162;2018-09-13;2018-09-13;2018-09-13T11:08:03.000Z;34;8-K;000-55377;181068295;4.01,9.01;40927;0;0;form8k_exceed918.htm;FORM 8-K
54;0001599916-18-000160;2018-08-20;2018-06-30;2018-08-20T11:22:41.000Z;34;10-Q;000-55377;181027580;;932474;1;0;exceed10q3.htm;10-Q
55;0001599916-18-000147;2018-08-14;2018-06-30;2018-08-14T09:28:27.000Z;34;NT 10-Q;000-55377;181014677;;22659;0;0;exceednt10q.htm;NT 10-Q
56;0001599916-18-000093;2018-05-15;2018-03-31;2018-05-15T12:15:17.000Z;34;10-Q;000-55377;18834600;;871252;1;0;exceed10q2.htm;10-Q
57;0001599916-18-000042;2018-02-20;;2018-02-20T16:16:32.000Z;NE;AW;333-210848;18624774;;6143;0;0;exceedworld_aw.htm;AW
58;0001599916-18-000040;2018-02-14;2017-12-31;2018-02-14T15:36:12.000Z;34;10-Q;000-55377;18611840;;807635;1;0;exceed10q1.htm;FORM 10-Q
59;0001599916-18-000002;2018-01-02;2017-09-30;2018-01-02T15:39:37.000Z;34;10-K;000-55377;18501643;;2627888;1;0;form10k.htm;FORM 10-K
60;0001599916-17-000054;2017-12-29;2017-09-30;2017-12-29T11:25:03.000Z;34;NT 10-K;000-55377;171280430;;26483;0;0;exceed_nt10k.htm;NT 10-K
61;0001599916-17-000024;2017-11-22;;2017-11-22T12:44:14.000Z;33;POS AM;333-210848;171219206;;18838;0;0;exceed_world.htm;POS AM
62;0001599916-17-000005;2017-08-14;2017-06-30;2017-08-14T12:49:39.000Z;34;10-Q;000-55377;171028735;;899643;1;0;exceed63017.htm;FORM 10-Q
63;0001690824-17-000061;2017-07-11;2017-07-07;2017-07-11T09:48:22.000Z;34;8-K;000-55377;17959217;1.01,9.01;739967;0;0;form8k71017.htm;FORM 8-K
64;0001627469-17-000017;2017-05-11;2017-03-31;2017-05-11T14:56:32.000Z;34;10-Q;000-55377;17833842;;816703;1;0;exceed_10qq2.htm;FORM 10-Q
65;0001690824-17-000013;2017-02-10;2016-12-31;2017-02-10T11:35:27.000Z;34;10-Q;000-55377;17591033;;741354;1;0;exceed_q1.htm;FORM 10-Q
66;0001690824-16-000006;2016-12-30;2016-09-30;2016-12-30T16:24:41.000Z;34;10-KT;000-55377;162077824;;1483819;1;0;exceed_10kttbf.htm;10-KT
67;0001690824-16-000004;2016-12-29;2016-09-30;2016-12-29T17:19:07.000Z;34;NT 10-K;000-55377;162075799;;26570;0;0;exceed_nt10k.htm;NT 10-K
68;0001675426-16-000069;2016-11-01;2016-10-28;2016-11-01T14:23:51.000Z;34;8-K;000-55377;161964305;5.03,8.01,9.01;34900;0;0;form8ksplit.htm;FORM 8-K
69;0001675426-16-000061;2016-10-11;2016-08-31;2016-10-11T15:57:43.000Z;34;10-Q;000-55377;161931113;;782998;1;0;exceed_q3.htm;FORM 10-Q
70;0001675426-16-000032;2016-08-05;2016-05-31;2016-08-05T09:32:35.000Z;34;8-K;000-55377;161809294;5.03,8.01;14367;0;0;form8k_852016.htm;FORM 8-K
71;9999999995-16-005193;2016-07-20;;2016-07-21T00:15:12.000Z;33;EFFECT;333-210848;161776427;S-1,,2016-07-20 16:00:00;1737;0;0;xslEFFECTX01/primary_doc.xml;
72;0001675426-16-000025;2016-07-18;;2016-07-18T14:32:34.000Z;;CORRESP;;;;5673;0;0;filename1.htm;
73;0001675426-16-000018;2016-07-07;;2016-07-07T13:17:22.000Z;33;S-1/A;333-210848;161756105;;1194742;0;0;exceed_s1a1.htm;S-1/A
74;0001675426-16-000015;2016-07-05;2016-05-31;2016-07-05T09:16:35.000Z;34;10-Q;000-55377;161748389;;781939;1;0;exceed_q2.htm;FORM 10-Q
75;0001657250-16-000098;2016-05-25;;2016-05-25T08:49:03.000Z;33;S-1/A;333-210848;161673506;;1217923;0;0;exceed_s1a1.htm;S-1/A
76;0000000000-16-076984;2016-05-18;;2016-05-18T17:06:06.000Z;;UPLOAD;;;;168550;0;0;filename1.pdf;
77;0001657250-16-000069;2016-04-21;;2016-04-21T15:06:00.000Z;33;S-1;333-210848;161583851;;1134605;0;0;exceed_s1.htm;FORM S-1
78;0001657250-16-000051;2016-04-06;2016-02-29;2016-04-06T12:36:39.000Z;34;10-Q;000-55377;161556958;;706218;1;0;form10q_q1.htm;FORM 10-Q
79;0001657250-16-000036;2016-03-04;2016-02-29;2016-03-04T11:07:27.000Z;34;8-K;000-55377;161483966;1.01,2.01,5.06,9.01;2049070;0;0;form8k.htm;FORM 8-K
80;0001657250-16-000026;2016-02-22;2015-11-30;2016-02-22T09:13:59.000Z;34;10-K;000-55377;161443729;;957240;1;0;exceedworld_10k.htm;FORM 10-K
81;0001634293-16-000008;2016-01-12;;2016-01-13T11:55:18.000Z;34;SC 14F1;005-89244;161340295;;56257;0;0;sc14f1.htm;SC 14F1
82;0001634293-16-000009;2016-01-12;;2016-01-12T17:30:41.000Z;34;SC 14F1;005-89244;161339516;;56257;0;0;sc14f1.htm;SC 14F1
83;0001634293-16-000006;2016-01-12;;2016-01-12T17:26:13.000Z;34;SC 13D;005-89244;161339483;;28165;0;0;schedule13d.htm;SC 13D
84;0001634293-16-000003;2016-01-12;2016-01-12;2016-01-12T15:12:02.000Z;34;8-K;000-55377;161338655;1.01,5.01,5.02,5.03,9.01;101262;0;0;form8k.htm;FORM 8-K
85;0001627469-15-000069;2015-10-15;2015-08-31;2015-10-15T14:49:52.000Z;34;10-Q;000-55377;151160029;;668207;1;0;brilliant10q_q3.htm;10-Q
86;0001627469-15-000033;2015-07-20;2015-05-31;2015-07-20T11:58:11.000Z;34;10-Q;000-55377;15995429;;689276;1;0;brilliant10q.htm;10-Q
87;0001627469-15-000027;2015-07-15;2015-05-31;2015-07-15T13:30:14.000Z;34;NT 10-Q;000-55377;15988953;;20850;0;0;nt10q_brilliant.htm;NT 10-Q
88;0000000000-15-024675;2015-05-05;;2015-05-05T15:35:49.000Z;;UPLOAD;;;;36432;0;0;filename1.pdf;
89;0001567860-15-000052;2015-04-24;;2015-04-24T10:23:49.000Z;;CORRESP;;;;6023;0;0;filename1.htm;
90;0001567860-15-000049;2015-04-09;;2015-04-09T17:14:26.000Z;34;10-12G/A;000-55377;15762069;;795189;0;0;brillianta1.htm;FORM 10-12G/A
91;0000000000-15-016267;2015-03-19;;2015-03-19T09:43:31.000Z;;UPLOAD;;;;165908;0;0;filename1.pdf;
92;0001567860-15-000006;2015-02-19;;2015-02-19T11:51:18.000Z;34;10-12G;000-55377;15630770;;641595;0;0;brilliant.htm;FORM 10-12G
