;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
290;0001193125-20-236699;2020-09-01;;2020-09-01T07:33:33.000Z;33;424B5;333-231168;201153278;;281090;0;0;d931870d424b5.htm;424B5
291;0001193125-20-236678;2020-09-01;2020-08-28;2020-09-01T07:12:06.000Z;34;8-K;001-34756;201153268;1.01,1.02,8.01,9.01;432739;1;1;d21598d8k.htm;8-K
292;0001214659-20-007479;2020-08-26;;2020-08-26T12:29:20.000Z;34;PX14A6G;001-34756;201135615;;82702;0;0;d826200px14a6g.htm;
293;0001564590-20-040987;2020-08-24;;2020-08-24T06:06:00.000Z;34;DEFA14A;001-34756;201124527;;1019909;0;0;tsla-defa14a_20200922.htm;DEFA14A
294;0001771364-20-000016;2020-08-20;2020-08-18;2020-08-20T20:04:37.000Z;;4;;;;7435;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
295;0001771364-20-000015;2020-08-19;2020-08-17;2020-08-19T21:43:57.000Z;;4;;;;4590;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
296;0001564590-20-040042;2020-08-13;;2020-08-13T16:25:52.000Z;34;DEFA14A;001-34756;201099687;;289732;0;0;tsla-defa14a_20200922.htm;DEFA14A
297;0001564590-20-040039;2020-08-13;;2020-08-13T16:23:04.000Z;34;DEFA14A;001-34756;201099659;;1683464;0;0;tsla-defa14a_20200922.htm;DEFA14A
298;0001790565-20-000013;2020-08-12;2020-08-10;2020-08-12T20:43:28.000Z;;4;;;;8501;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
299;0001564590-20-039353;2020-08-11;2020-08-11;2020-08-11T17:07:35.000Z;34;8-K;001-34756;201093265;8.01,9.01;170763;1;1;tsla-8k_20200811.htm;8-K
300;9999999997-20-004329;2020-08-07;;2020-08-07T08:40:54.000Z;34;CT ORDER;001-34756;201083873;20200807,20200807;120987;0;0;filename1.pdf;
301;0001584518-20-000009;2020-08-05;2020-08-03;2020-08-05T20:48:33.000Z;;4;;;;8433;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
